# NOTICE: This dataset is synthetic development data and is not representative of real-world candidate populations.
sample_id,topic,question_difficulty,difficulty_numeric,attempt_number,technical_score,relevance_score,completeness_score,clarity_score,communication_score,answer_length,keyword_coverage,previous_score,average_previous_score,topic_accuracy,composite_score,readiness_label
1,Cloud & DevOps,Medium,2,5,61.09,62.68,71.3,70.11,69.3,82,0.51,56.43,58.76,52.46,64.19,Almost Ready
2,Generative AI & RAG,Medium,2,1,47.38,59.17,41.35,56.11,49.56,52,0.465,41.37,44.38,45.92,48.54,Needs Improvement
3,Machine Learning & AI,Easy,1,1,31.84,27.51,29.72,25.0,30.0,41,0.25,33.55,32.69,33.15,29.2,Needs Improvement
4,SQL & DBMS,Easy,1,1,74.32,72.26,65.7,72.0,72.35,47,0.559,83.63,78.98,77.71,69.69,Almost Ready
5,SQL & DBMS,Medium,2,5,59.5,69.49,53.29,57.36,66.63,94,0.402,65.88,62.69,54.83,57.65,Needs Improvement
6,Generative AI & RAG,Medium,2,4,58.54,61.18,63.19,80.42,85.91,80,0.496,59.9,59.22,61.58,62.77,Almost Ready
7,Python & OOP,Hard,3,1,57.5,54.77,49.77,50.59,50.53,82,0.478,48.89,53.2,50.76,53.15,Needs Improvement
8,System Design,Easy,1,4,85.91,83.46,74.55,60.79,59.37,29,0.643,94.09,90.0,80.63,76.7,Almost Ready
9,Machine Learning & AI,Medium,2,3,36.53,41.6,31.81,38.57,49.18,69,0.103,51.33,43.93,29.92,34.32,Needs Improvement
10,Machine Learning & AI,Medium,2,3,39.55,45.62,40.44,42.99,37.81,66,0.362,48.42,43.98,42.57,40.61,Needs Improvement
11,Python & OOP,Easy,1,4,58.19,61.58,64.71,56.91,60.14,29,0.326,65.6,61.89,50.15,57.74,Needs Improvement
12,Cloud & DevOps,Easy,1,4,88.14,94.27,86.82,81.28,85.36,71,0.714,69.65,78.89,93.99,86.23,Interview Ready
13,Cloud & DevOps,Medium,2,5,58.58,59.28,50.42,52.85,60.06,86,0.54,39.72,49.15,63.13,55.69,Needs Improvement
14,Cloud & DevOps,Medium,2,3,26.45,27.22,26.99,59.9,61.71,48,0.319,32.52,29.48,20.0,32.36,Needs Improvement
15,SQL & DBMS,Medium,2,2,53.41,51.53,28.55,58.45,67.03,60,0.554,42.61,48.01,55.2,48.3,Needs Improvement
16,Cloud & DevOps,Medium,2,4,86.28,92.37,86.91,79.93,100.0,93,0.754,70.68,78.48,96.28,86.31,Interview Ready
17,Cloud & DevOps,Easy,1,3,24.62,28.47,23.81,25.0,32.8,26,0.271,23.11,23.86,31.44,25.69,Needs Improvement
18,Cloud & DevOps,Medium,2,1,89.77,90.11,70.75,83.25,95.22,87,0.761,77.16,83.47,94.36,83.32,Interview Ready
