Index,Company,Role,JD Required Skills,ATS Score,Match Score,Q1 Topic,Q2 Topic,Q3 Topic,Final Score,Readiness,Role Specific
1,Google,Software Engineer,C++; Distributed Systems; Kubernetes; Python; System Design; gRPC,49.0,49.5%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,84.0,Interview Ready,Yes (Role-Tailored)
2,Microsoft,Software Engineer,Azure; C#; CI/CD; Distributed Systems; Microservices; Python,56.7,52.1%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,84.0,Interview Ready,Yes (Role-Tailored)
3,Amazon,Software Development Engineer II,AWS; Caching; Docker; DynamoDB; Java; Microservices; System Design,50.7,46.2%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,84.0,Interview Ready,Yes (Role-Tailored)
4,Meta,Software Engineer,Caching; Cassandra; Distributed Systems; GraphQL; PHP; Python; REST API; Redis,44.8,45.0%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,84.0,Interview Ready,Yes (Role-Tailored)
5,NVIDIA,Machine Learning Engineer,C++; Deep Learning; Machine Learning; PyTorch; Python,65.7,66.1%,Deep Learning & Optimization,Deep Learning & Optimization,Model Serving & Inference,84.0,Interview Ready,Yes (Role-Tailored)
6,Apple,Machine Learning Engineer,Machine Learning,75.8,73.2%,Deep Learning & Optimization,Deep Learning & Optimization,Model Serving & Inference,84.0,Interview Ready,Yes (Role-Tailored)
7,Adobe,Software Engineer,AWS; Docker; JavaScript; Microservices; Node.js; PostgreSQL; Python; REST API; Redis,56.2,51.4%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,84.0,Interview Ready,Yes (Role-Tailored)
8,Salesforce,Machine Learning Engineer,Docker; FastAPI; Machine Learning; Python; SQL; Scikit-Learn,63.5,64.2%,Deep Learning & Optimization,Deep Learning & Optimization,Model Serving & Inference,84.0,Interview Ready,Yes (Role-Tailored)
9,Uber,Machine Learning Engineer,Deep Learning; Distributed Systems; Kafka; Machine Learning; Python,60.2,57.7%,Deep Learning & Optimization,deep learning & optimization,deep learning & optimization,72.0,Almost Ready,Yes (Role-Tailored)
10,Atlassian,Backend Software Engineer,AWS; Distributed Systems; Java; Jira; Kafka; Microservices; PostgreSQL; Python; REST API; SQL,51.3,51.5%,Distributed Systems & Consensus,Distributed Systems & Consensus,Concurrency & Transaction Management,84.0,Interview Ready,Yes (Role-Tailored)
11,ServiceNow,Software Engineer,Docker; Java; Microservices; MySQL; Python,65.4,60.8%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,84.0,Interview Ready,Yes (Role-Tailored)
12,Walmart Global Tech,Software Engineer,Cassandra; Java; Kafka; Microservices; Python; Redis; Spring Boot,52.2,47.4%,Data Structures & Algorithms,data structures & algorithms,data structures & algorithms,72.0,Almost Ready,Yes (Role-Tailored)
13,JPMorgan Chase,Software Engineer,Docker; Java; Python; SQL; Spring Boot,62.5,57.6%,Data Structures & Algorithms,Data Structures & Algorithms,data structures & algorithms,76.0,Almost Ready,Yes (Role-Tailored)
14,Goldman Sachs,Data/ML Engineer,Kafka; Machine Learning; PostgreSQL; Python; SQL,61.7,62.0%,Deep Learning & Optimization,Deep Learning & Optimization,Model Serving & Inference,84.0,Interview Ready,Yes (Role-Tailored)
15,Deloitte,Data Scientist,Machine Learning; Pandas; Python; R; SQL; Scikit-Learn,74.3,71.5%,Experimentation & A/B Testing,experimentation & a/b testing,experimentation & a/b testing,72.0,Almost Ready,Yes (Role-Tailored)
16,Accenture,AI Engineer,Docker; FAISS; FastAPI; LangChain; LangGraph; Large Language Models; Machine Learning; Python; RAG,57.0,57.7%,Deep Learning & Optimization,Deep Learning & Optimization,Model Serving & Inference,84.0,Interview Ready,Yes (Role-Tailored)
17,Infosys,Specialist Programmer,Docker; Java; Python; REST API; SQL; Spring Boot,57.8,55.8%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,80.0,Interview Ready,Yes (Role-Tailored)
18,TCS,Digital Software Engineer,Git; Java; Linux; Microservices; Python; SQL; Spring Boot,61.6,59.6%,Data Structures & Algorithms,data structures & algorithms,data structures & algorithms,72.0,Almost Ready,Yes (Role-Tailored)
19,Flipkart,Software Development Engineer,Caching; Distributed Systems; Java; Kafka; Microservices; MySQL; Python; Redis,57.7,53.4%,Data Structures & Algorithms,Data Structures & Algorithms,System Architecture & Scalability,84.0,Interview Ready,Yes (Role-Tailored)
20,Paytm,Machine Learning/Data Engineer,FastAPI; Kafka; Machine Learning; Python; Redis; SQL; Scikit-Learn,62.1,59.8%,Deep Learning & Optimization,Deep Learning & Optimization,Model Serving & Inference,84.0,Interview Ready,Yes (Role-Tailored)
